num_tasks,burst_mean,burst_std,arrival_mean,arrival_std,burst_min,burst_max,arrival_min,arrival_max,best_algo
14,10.571428571428571,4.593695768803865,4.0,2.7516228977511745,4,18,0,9,0
6,10.166666666666666,5.3359368645273735,4.333333333333333,3.7712361663282534,2,19,0,9,1
7,11.714285714285714,3.9538150008851565,4.0,2.7774602993176543,8,19,1,9,0
9,8.222222222222221,5.2446327649804205,4.555555555555555,2.7125679146074893,2,19,0,7,1
5,8.0,4.732863826479693,5.4,2.4166091947189146,1,15,2,9,0
3,11.333333333333334,7.586537784494028,5.0,1.632993161855452,1,19,3,7,1
14,11.642857142857142,4.714826808774071,4.285714285714286,1.6659862556700857,5,19,1,7,0
14,9.142857142857142,6.7702832063273055,4.785714285714286,2.807606286719078,1,19,0,9,1
15,9.866666666666667,4.8424052792893,3.7333333333333334,3.0214051182999095,3,19,0,9,2
13,10.461538461538462,5.812657073019249,4.769230769230769,2.576636034529881,1,17,0,9,1
3,10.333333333333334,3.858612300930075,5.666666666666667,4.0276819911981905,5,14,0,9,2
3,10.333333333333334,2.6246692913372702,7.333333333333333,0.9428090415820634,8,14,6,8,0
15,10.733333333333333,5.88179866669674,4.533333333333333,3.4998412662417837,1,19,0,9,1
8,7.625,5.8081300777444715,5.25,2.8613807855648994,1,19,0,8,1
6,7.5,4.681523968396046,3.8333333333333335,1.9507833184532706,1,15,2,8,0
10,9.6,6.053098380168622,4.2,3.280243893371345,1,19,0,9,1
12,8.666666666666666,4.624812308503869,4.666666666666667,3.118047822311618,1,17,0,9,2
11,13.363636363636363,4.538175990672249,4.545454545454546,2.3879864611933996,3,18,0,8,0
4,7.75,3.112474899497183,4.0,2.449489742783178,5,13,0,6,0
4,10.0,5.787918451395113,6.0,3.5355339059327378,1,17,0,9,1
9,12.777777777777779,4.961580791503579,5.777777777777778,2.57240820062005,3,18,1,9,0
4,12.5,4.769696007084728,3.25,2.277608394786075,6,18,1,7,0
15,11.6,5.66627449623354,4.6,2.5768197453450252,1,19,0,8,1
3,9.333333333333334,3.39934634239519,5.333333333333333,2.8674417556808756,6,14,2,9,0
14,11.928571428571429,5.161177685571464,5.357142857142857,2.7414058660564984,1,19,0,9,1
10,12.4,4.737087712930805,4.6,2.4166091947189146,4,19,1,8,0
11,9.363636363636363,3.255002507266938,6.818181818181818,2.2489667048823603,4,16,1,9,0
10,9.5,5.352569476429054,5.4,2.537715508089904,2,17,2,9,1
12,11.583333333333334,6.304209352135727,5.083333333333333,2.1392496088322392,1,19,0,8,1
13,8.538461538461538,5.651621749760581,3.3846153846153846,2.6757734047578596,1,19,0,7,1
